epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,4.92776760348479,3.756,0.235,0.332,0.235,0.22
1,3.679173949655923,3.202,0.319,0.43,0.319,0.309
2,3.3765469097879124,3.043,0.349,0.464,0.349,0.337
3,3.256749558417825,2.927,0.361,0.468,0.361,0.354
4,3.1954873254194593,2.896,0.37,0.477,0.37,0.361
5,3.157769233461788,2.819,0.381,0.475,0.381,0.369
6,3.1294761516971894,2.812,0.379,0.483,0.379,0.37
7,3.1151376457549746,2.696,0.405,0.498,0.405,0.393
8,3.0988436055619326,2.757,0.392,0.496,0.392,0.381
9,3.088482314615605,2.779,0.39,0.491,0.39,0.383
10,3.080679629229918,2.778,0.39,0.482,0.39,0.38
11,3.0744731741085407,2.867,0.376,0.493,0.376,0.372
12,3.0708257140473942,2.808,0.381,0.493,0.381,0.373
13,3.06898631495974,2.786,0.388,0.492,0.388,0.379
14,3.063952559321443,2.769,0.391,0.491,0.391,0.384
15,3.0591994142518057,2.876,0.374,0.484,0.374,0.364
16,3.059955757372219,2.747,0.394,0.493,0.394,0.385
17,3.0563858614743014,2.765,0.39,0.498,0.39,0.382
18,3.050999739755104,2.822,0.386,0.486,0.386,0.376
19,3.0519006725779207,2.731,0.398,0.504,0.398,0.389
20,3.049165303836468,2.697,0.402,0.49,0.402,0.391
21,3.048394527090145,2.684,0.409,0.5,0.409,0.402
22,3.0480140083045058,2.77,0.388,0.483,0.388,0.379
23,3.0495670224739153,2.742,0.396,0.51,0.396,0.391
24,3.0467766722083054,2.791,0.386,0.492,0.386,0.382
25,3.0581807221836566,2.664,0.411,0.502,0.411,0.401
26,3.053565472420999,2.714,0.404,0.5,0.404,0.396
27,3.0485927840310123,2.805,0.386,0.489,0.386,0.378
28,3.0447406982706195,2.749,0.397,0.49,0.397,0.385
29,3.0467401687552704,2.73,0.401,0.488,0.401,0.392
30,2.202919713730745,1.709,0.592,0.611,0.592,0.586
31,2.0623659969257515,1.682,0.599,0.624,0.599,0.594
32,2.0433565339064046,1.707,0.592,0.617,0.592,0.585
33,2.040655269502748,1.666,0.599,0.63,0.599,0.595
34,2.036666985116218,1.64,0.606,0.628,0.606,0.599
35,2.029736122708421,1.652,0.603,0.631,0.603,0.596
36,2.0212153989197503,1.682,0.597,0.63,0.597,0.593
37,2.010535879668233,1.673,0.598,0.628,0.599,0.592
38,2.006770968335958,1.643,0.606,0.638,0.606,0.6
39,1.9973070090295122,1.654,0.604,0.633,0.604,0.597
40,1.991729596990581,1.62,0.61,0.639,0.61,0.603
41,1.984862361457253,1.654,0.601,0.633,0.601,0.597
42,1.9819115960659925,1.608,0.614,0.646,0.614,0.609
43,1.9720053626489586,1.6,0.612,0.646,0.612,0.607
44,1.967668168390413,1.611,0.608,0.64,0.608,0.603
45,1.9631314712163153,1.604,0.611,0.645,0.611,0.606
46,1.9609918031126532,1.594,0.615,0.646,0.615,0.61
47,1.9590983547010508,1.607,0.612,0.643,0.612,0.607
48,1.954226926366627,1.617,0.611,0.638,0.611,0.604
49,1.9487732468588463,1.579,0.617,0.644,0.617,0.612
50,1.9472725871845802,1.622,0.608,0.643,0.608,0.604
51,1.9443865735781682,1.582,0.618,0.651,0.618,0.613
52,1.9427626395525661,1.591,0.611,0.645,0.611,0.607
53,1.9374046237786247,1.597,0.614,0.645,0.614,0.609
54,1.9389064274940448,1.644,0.605,0.643,0.605,0.6
55,1.9354704632508026,1.594,0.615,0.647,0.615,0.61
56,1.9326137192558488,1.568,0.617,0.648,0.617,0.612
57,1.9291573362115118,1.607,0.611,0.639,0.611,0.605
58,1.9291761986489229,1.579,0.616,0.65,0.616,0.612
59,1.9278007840309863,1.609,0.611,0.641,0.611,0.604
60,1.5956265446439182,1.275,0.687,0.694,0.687,0.682
61,1.5244980051730919,1.246,0.69,0.699,0.691,0.687
62,1.497611707449555,1.237,0.693,0.701,0.693,0.689
63,1.4795772519213108,1.226,0.695,0.704,0.695,0.691
64,1.4695767900638617,1.214,0.697,0.706,0.697,0.693
65,1.4577326208802652,1.206,0.7,0.709,0.7,0.696
66,1.4500106486160327,1.207,0.698,0.707,0.698,0.694
67,1.4433723469662587,1.208,0.698,0.706,0.698,0.693
68,1.4376132781033464,1.201,0.701,0.71,0.701,0.697
69,1.4313826125894158,1.204,0.7,0.709,0.7,0.696
70,1.4307798200559279,1.198,0.701,0.711,0.701,0.697
71,1.425974959307158,1.192,0.702,0.71,0.702,0.698
72,1.4266795796588865,1.198,0.7,0.709,0.7,0.696
73,1.4199430695785629,1.193,0.703,0.713,0.703,0.7
74,1.4205837144320728,1.19,0.703,0.711,0.703,0.699
75,1.4192621699936419,1.194,0.7,0.71,0.7,0.696
76,1.41824226653508,1.193,0.703,0.712,0.703,0.698
77,1.4143500413817476,1.197,0.701,0.711,0.701,0.697
78,1.4135669227460606,1.197,0.7,0.71,0.7,0.696
79,1.4137894517907446,1.199,0.701,0.711,0.701,0.697
80,1.4160804364579769,1.201,0.701,0.71,0.701,0.696
81,1.4127123266598456,1.194,0.701,0.713,0.701,0.697
82,1.4144196150179973,1.198,0.702,0.713,0.702,0.698
83,1.4126712744714067,1.196,0.702,0.711,0.702,0.698
84,1.414838121492125,1.199,0.7,0.712,0.7,0.697
85,1.4138904584670164,1.196,0.703,0.715,0.703,0.7
86,1.410476124772588,1.193,0.704,0.715,0.704,0.7
87,1.4122994859320548,1.202,0.7,0.711,0.7,0.696
88,1.4119396260335189,1.206,0.7,0.713,0.7,0.697
89,1.4128831681528462,1.209,0.698,0.712,0.699,0.696
90,1.3057235122763178,1.121,0.719,0.725,0.719,0.715
91,1.2796907439695417,1.112,0.721,0.726,0.721,0.717
92,1.2690215467966,1.114,0.72,0.726,0.72,0.716
93,1.2634496387306038,1.109,0.721,0.727,0.721,0.718
94,1.2583584032557515,1.103,0.722,0.728,0.722,0.719
95,1.2539693244685182,1.108,0.721,0.727,0.721,0.718
96,1.249755564518403,1.106,0.722,0.728,0.722,0.718
97,1.244556064035333,1.106,0.723,0.728,0.723,0.719
98,1.2436361628665422,1.103,0.724,0.729,0.724,0.72
99,1.239318574048956,1.102,0.725,0.731,0.725,0.721
100,1.2389494101461538,1.106,0.722,0.729,0.722,0.719
101,1.2367963275836533,1.1,0.724,0.729,0.724,0.72
102,1.2345459340710612,1.105,0.722,0.728,0.722,0.719
103,1.233506301918734,1.101,0.724,0.73,0.724,0.721
104,1.2309923767194915,1.098,0.725,0.731,0.725,0.722
105,1.231497531745779,1.103,0.724,0.73,0.724,0.721
106,1.227695148667859,1.101,0.724,0.73,0.724,0.721
107,1.2255452438654486,1.104,0.722,0.728,0.722,0.719
108,1.226013180139789,1.102,0.724,0.73,0.724,0.72
109,1.2212289699796839,1.097,0.724,0.73,0.724,0.721
110,1.2219864532317253,1.1,0.724,0.73,0.724,0.721
111,1.2210430870321511,1.099,0.723,0.729,0.723,0.72
112,1.22097932083056,1.097,0.725,0.731,0.725,0.721
113,1.2169745018571176,1.099,0.725,0.731,0.725,0.721
